tag,time,approve,uid,name,sex,review
0,2022-02-18 22:25:37,266.0,340829399.0,笑って黙っている,保密,《孤勇者》和很多人都很般配，486和鲁迪乌斯就是其中非常好的例子，因为他们真实且离我们很近，但同时也离我们很远，军人、医生、警察，都是勇者；486从刚来到异世界一无所有除了读档重来，没有任何技能，当时的她就是不同一个孤者一样保护着他所认识的每一个人，想尽己所能，让每一个人都活下来；鲁迪乌斯，从生前的死宅，人生失败，但他永远没有丢掉他那份想保护亲人的心，努力地为自己的人生拼搏着，虽然有时有一点《英雄本色》，但丝毫不影响着他的人生；每个人都可以拥有这样的生活，失败的时候，内心很难爬起来，486和鲁迪乌斯一样，遇到很大的挫折，内心总会非常的崩溃，但他们始终都有一个目标并以此前进，我们与他们的差距也许只是一个能令自己不会放弃的目标，和别人的一点点关心，在失败的时候，任何一点点的关心都可以让你看到希望的光芒。――――――――――――――――――――――――――――――――――――――――希望你也能成为属于自己人生的那一位孤勇者。
0,2022-02-18 22:31:31,0.0,448058821.0,选我吧_,男,不抛弃不放弃，有契机就拼命，值得标榜
0,2022-02-18 23:31:13,18.0,237733293.0,潘大虾-,男,感觉异世界番里头就这两个是刻画主角很真实，很贴切的，看着他们的同时也能激励着自己
0,2022-02-19 20:29:03,2.0,89527961.0,冈部咲太郎,男,回复 @潘大虾- :他们是最接近于普通人的主角，不像那种一眼就能看出来是虚构的龙傲天。486和鲁迪这样的人是存在于我们的生活当中的。这也是为什么我最喜欢的男主角就是他俩的原因，因为他们就像是生活中的哥们一样，都是努力去活着的普通人。
0,2022-02-21 17:02:48,0.0,358695479.0,因为愛天,保密,说的对
0,2022-02-26 19:26:36,0.0,324751390.0,麟火中逆转,男,可恶！你知道阿格尼的痛吗[doge]
0,2022-03-02 23:36:12,0.0,431170267.0,萧嚯,保密,回复 @麟火中逆转 :炎拳？
0,2022-03-08 07:45:08,2.0,14923390.0,冰菓圈Cannis,男,回复 @冈部咲太郎 :特别是鲁迪，感觉就是自己大学里那种很努力的学霸，但在老司机方面又特别有共同话题[doge]
0,2022-03-13 12:06:11,1.0,434330858.0,什仈のbibi,保密,回复 @潘大虾- :要说真实的话，就不能不说灰幻了[doge]
0,2022-04-13 17:41:34,0.0,630565681.0,伸手触碰阳光-,保密,我是老粉
0,2022-02-19 10:52:58,173.0,1711647254.0,洛琪希神教,保密,我单方面宣布re0和无职是异世界天花板
0,2022-02-19 11:50:06,3.0,237733293.0,潘大虾-,男,我宣布你的宣布永久有效[惊喜]
0,2022-02-19 17:10:08,7.0,438778270.0,loser-十六,男,天花板是天花板，可天花板却不只re0和无职
0,2022-02-19 18:46:41,11.0,518056190.0,沉默的卡佩,保密,回复 @loser_津 :异世界可以说是廉价番聚集地了，制作好的异世番没几个，无职，re0，盾勇等等确实是天花板[doge]
0,2022-02-19 18:51:26,2.0,1711647254.0,洛琪希神教,保密,难道就没人说素晴吗
0,2022-02-19 19:46:48,2.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :盾勇?[辣眼睛]
0,2022-02-19 19:47:17,0.0,35140104.0,平凡又普通的一般人,男,回复 @洛琪希神教 :素晴确实
0,2022-02-19 19:59:36,1.0,291292711.0,c9Ao,男,我赞成[嫌弃]
0,2022-02-19 20:30:01,0.0,89527961.0,冈部咲太郎,男,很难不支持
0,2022-02-19 20:30:11,0.0,89527961.0,冈部咲太郎,男,回复 @似翼Sy :素晴和游戏人生也不错
0,2022-02-19 23:28:12,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :盾勇制作不行吗[妙啊]在异世界这类型确实一等一了啊
0,2022-02-19 23:29:06,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :虽然剧情有点老套和憋屈，但是加入了点新元素，整体观感不错
0,2022-02-19 23:43:51,0.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :天花板不至于，顶多和史莱姆一个级别
0,2022-02-19 23:45:13,1.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :而且硬要说，灰与幻想的格里姆加尔制作，剧情都是一流的，但是和天花板还是差一点
0,2022-02-19 23:46:33,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :异世界本来就是廉价番代表，没多少拿的出手的，做这番讲究的就是一个爽，投资没多少，盾勇制作确实是这几年一等一的异世界了，而且很火
0,2022-02-19 23:59:16,1.0,366597895.0,露法斯小姐,女,回复 @似翼Sy :加个高达创形者再起，低廉的经费却都用在了正确的地方。
0,2022-02-20 08:32:30,0.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :天花板这词也没那么廉价，盾勇和天花板确实差点距离
0,2022-02-20 11:02:14,0.0,366525107.0,怪物の救世主,女,回复 @loser_津 :我再宣布盾棍勇都是
0,2022-02-20 11:33:30,7.0,7943842.0,我-自罚两杯-,女,内个。。狼与香辛料也算异世界[doge]
0,2022-02-20 13:47:22,1.0,491344190.0,该呢称已充值,保密,回复 @我-自罚两杯- :狼与辛香料永远滴神
0,2022-02-20 15:03:53,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :实力虽然没有那么强，但在这个类型里面能打程度是一流的，不就是天花板吗，难道非要出个巨人，fate级别的才是天花板吗，天花板不就是将现有的事物对比选出来的嘛，再说了，异世界也没几个，钢炼，fate，死笔那种的啊
0,2022-02-20 15:09:31,0.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :你都说了对比，素晴，灰与幻想，无职，re0真的比盾勇强很多，盾勇级别和史莱姆差不多
0,2022-02-20 15:09:38,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :就跟你们班五十个人，但是前三名跟后面的分数差不了多少，虽然没其他班的前三名分数高，但前三名还是这个班级分数最高天花板，我的意思就是这个[妙啊]。
0,2022-02-20 15:11:57,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :就跟我刚才的话一样，天花板不是非要跟其他班级一样的成绩，同班级（同类型）在自己的班级里面成绩最突出的那个人就是班级的天花板
0,2022-02-20 15:13:50,0.0,35140104.0,平凡又普通的一般人,男,回复 @似翼Sy :可以看看bgm评分，盾勇都四千多名了，无职前百，re0第二季后半700，灰与幻想800＋
0,2022-02-20 15:14:04,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :但人家就是能打啊，能打就是实力，冷门番不火的原因除了宣传问题还有就是自己的问题，盾勇在异世界能打程度一等一，史莱姆也是
0,2022-02-20 15:15:15,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :就跟最近的那个，贤者，王子那些异世界，这些就属于异世界里的正常品质番了
0,2022-02-20 15:16:03,0.0,518056190.0,沉默的卡佩,保密,回复 @何时才能不吃保底 :BGM评分？要靠这的话，巨人不都打到天上去了
