tag,time,approve,uid,name,sex,review
0,2021-11-17 17:38:23,2.0,237733293.0,潘大虾-,男,兄弟们看看这个吧不会让你们失望的
0,2021-11-16 15:15:15,12.0,21159.0,丽芙的花婿,男,这bug昨晚连续遇到4次。我直接吐了，异聚核心不死会解除，然后就是打死异聚核心会有1只变的可以打，但是还有一只继续无敌。异常恶心。推荐开头直接去对着炮台输出，但是经常因为输出不够导致2只进入无敌，然后平a或者超算啥的把异聚核心打死，直接寄。
0,2021-11-16 13:43:39,7.0,177597378.0,蔚蓝飞洋,保密,直接打机炮，异聚核心不能先死，不然会触发bug[OK]
0,2021-11-16 14:09:18,0.0,237733293.0,潘大虾-,男,谢谢提醒(=・ω・=)
0,2021-11-17 14:25:41,3.0,530789415.0,整活小分队大队长,保密,我还以为就我一个出发过，原来都能触发啊😂😂
0,2021-11-16 12:22:45,2.0,31545063.0,一鸣呐呐呐,保密,昨天也碰到这个bug，重开了两次还是这样，直接不打了
0,2021-11-16 13:17:09,1.0,237733293.0,潘大虾-,男,那我运气好点，我通关5次只遇见这一次，会不会是流派的问题导致的[思考]
0,2021-11-16 13:19:21,0.0,31545063.0,一鸣呐呐呐,保密,回复 @潘大虾- :自信点，是策划问题导致的
0,2021-11-16 13:20:52,0.0,237733293.0,潘大虾-,男,回复 @一鸣呐呐呐 :确实这版本bug多得离谱[笑哭]
0,2021-11-16 10:22:22,2.0,1880154.0,bodyfire,保密,我也碰见过这bug，只能重开[辣眼睛]
0,2021-11-16 10:27:26,0.0,237733293.0,潘大虾-,男,就因为少了这一次机会，我没过精通难度[灵魂出窍]
0,2021-11-19 02:24:45,1.0,169882057.0,po---------,男,第二次我直接重开
0,2021-11-18 16:43:06,1.0,181881575.0,过去ノ时光,男,遇到过，只能重开关卡[吐]
0,2021-11-17 19:30:26,1.0,397272387.0,安娜・卡列尼娜,保密,怕不是开了铁幕[doge]
0,2021-11-17 20:58:51,0.0,237733293.0,潘大虾-,男,铁幕起码能被打，这个根本打不到呀(〜￣△￣)〜
0,2021-11-17 17:11:23,1.0,358340994.0,creeper-man,男,我也遇到了[哦呼]
0,2021-11-17 15:04:59,1.0,397753368.0,挽星流年,保密,以前打据点就有这bug了，一直没修么
0,2021-11-17 14:09:19,1.0,1517171.0,水晶豆腐6号,保密,好吧我以为只有我遇到过（
0,2021-11-17 13:45:06,1.0,472240554.0,红色残影,保密,毕竟是老大哥的战争遗产（
0,2021-11-17 17:37:09,0.0,237733293.0,潘大虾-,男,就你离谱[笑哭]
0,2021-11-16 15:46:57,1.0,488959108.0,起了名还怎么改,保密,我遇见的bug只是隐身了 好在还能攻击到
0,2021-11-16 14:46:27,1.0,525058140.0,龙女仆10,保密,第二次遇到过这bug。已经反馈过了
0,2021-11-16 14:31:14,1.0,31846129.0,光影之主的礼赞手炮,男,这个bug好像很久之前就有了…
0,2021-11-19 02:24:26,0.0,169882057.0,po---------,男,我遇到过两回
0,2021-11-16 21:19:35,0.0,5109262.0,ZeroXXXXXXXXXXX,保密,异聚核心才是你游最恶心的小怪[藏狐]
0,2021-11-17 11:40:30,0.0,22809720.0,水晶龙神,保密,最恶心的不是buff吗？两只血量和防超高的怪每30秒交替无敌[笑哭]
0,2021-11-16 14:44:21,0.0,525058140.0,龙女仆10,保密,你也有呀
